PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
4179,Native Riparian Forest,0.4,40.02,13.14,46.84,125.66,0.16
3223,Native Riparian Forest,0.81,76.51,13.14,10.35,141.06,0.37
4852,Salt Meadow/Dry Grassland,2.75,89.01,4.80,6.20,152.06,1.37
6626,Russian Olive Woodland,0.42,17.59,77.15,5.26,158.47,0.22
4343,Salt Meadow/Dry Grassland,9.24,91.15,2.83,6.02,177.74,5.39
4341,Salt Meadow/Dry Grassland,4.25,92.51,4.98,2.51,207.08,2.89
3528,Native Riparian Forest,1.11,42.21,24.55,33.24,211.17,0.77
144,Salt Meadow/Dry Grassland,109.31,98.44,1.55,0.01,211.62,75.89
4053,Native Riparian Forest,1.22,44.64,5.77,49.60,227.54,0.91
3344,Native Riparian Forest,5.41,68.99,5.21,25.80,232.42,4.13
4815,Salt Meadow/Dry Grassland,58.79,93.27,2.61,4.12,235.52,45.43
3938,Native Riparian Forest,2.6,51.43,7.55,41.01,235.91,2.01
4144,Native Riparian Forest,0.84,56.08,14.91,29.01,239.87,0.66
4363,Salt Meadow/Dry Grassland,3.86,92.84,5.20,1.96,240.79,3.05
5,Dry Native Riparian Shrubland,1.08,97.38,2.62,0.00,248.07,0.88
7,Dry Native Riparian Shrubland,7.12,96.33,3.67,0.00,248.34,5.8
4009,Native Riparian Forest,0.53,29.48,5.13,65.39,249.53,0.43
4811,Salt Meadow/Dry Grassland,3.36,91.37,2.27,6.37,252.89,2.79
6294,Russian Olive Woodland,1.19,42.42,29.87,27.71,257.57,1.01
3343,Native Riparian Forest,1.58,66.10,3.56,30.34,257.74,1.34
4260,Salt Meadow/Dry Grassland,76.29,97.99,1.95,0.06,261.39,65.42
10473,Salt Meadow/Dry Grassland,2.92,96.77,3.22,0.01,263.3,2.52
3880,Native Riparian Forest,0.38,13.89,15.05,71.06,268.13,0.33
2463,Dry Native Riparian Shrubland,1.28,89.56,10.40,0.04,271.01,1.14
3342,Native Riparian Forest,0.58,71.08,9.37,19.55,278.49,0.53
3703,Native Riparian Forest,1.38,16.61,4.90,78.49,278.54,1.26
4339,Salt Meadow/Dry Grassland,4.82,90.01,2.93,7.06,280.9,4.44
4748,Salt Meadow/Dry Grassland,0.36,86.79,13.08,0.14,283.25,0.33
4336,Salt Meadow/Dry Grassland,0.92,94.38,4.79,0.83,285.04,0.86
3882,Native Riparian Forest,0.68,17.32,10.53,72.15,286.95,0.64
3939,Native Riparian Forest,2.65,59.76,2.25,37.99,288.68,2.51
139,Salt Meadow/Dry Grassland,158.22,95.14,4.85,0.01,290.64,150.87
6,Dry Native Riparian Shrubland,0.56,94.07,5.93,0.00,291.78,0.54
131,Salt Meadow/Dry Grassland,9.23,99.17,0.83,0.00,293.47,8.89
3339,Native Riparian Forest,0.52,62.25,12.58,25.17,306.06,0.52
4945,Salt Meadow/Dry Grassland,0.42,78.52,2.26,19.21,308.19,0.42
5062,Salt Meadow/Dry Grassland,481.67,96.68,2.53,0.79,309.65,489.33
24,Dry Native Riparian Shrubland,3.23,89.67,10.33,0.00,309.84,3.28
26,Dry Native Riparian Shrubland,7.58,85.82,14.18,0.00,310.13,7.71
4819,Salt Meadow/Dry Grassland,7.52,90.43,3.59,5.97,314.95,7.77
4839,Salt Meadow/Dry Grassland,153.24,94.73,2.49,2.78,317.03,159.39
4519,Salt Meadow/Dry Grassland,4.57,87.39,7.55,5.06,319.55,4.79
4933,Salt Meadow/Dry Grassland,1.56,80.10,2.43,17.46,319.87,1.64
4838,Salt Meadow/Dry Grassland,16.94,95.83,1.82,2.35,321.3,17.86
4340,Salt Meadow/Dry Grassland,1.41,90.24,3.81,5.95,322.71,1.49
22,Dry Native Riparian Shrubland,0.75,89.44,10.56,0.00,324.01,0.8
4159,Native Riparian Forest,0.99,50.81,19.92,29.27,324.22,1.05
4707,Salt Meadow/Dry Grassland,7.95,92.10,3.67,4.23,324.56,8.47
4730,Salt Meadow/Dry Grassland,4.84,98.98,0.81,0.21,326.17,5.18
3888,Native Riparian Forest,0.8,13.07,5.61,81.31,326.88,0.86
10461,Salt Meadow/Dry Grassland,248.99,95.27,2.69,2.04,327.74,267.73
3881,Native Riparian Forest,0.37,10.12,2.51,87.37,328.73,0.4
3536,Native Riparian Forest,12.9,42.67,9.35,47.98,331.46,14.03
4592,Salt Meadow/Dry Grassland,1.02,79.40,7.06,13.54,333.1,1.11
4160,Native Riparian Forest,2.36,57.69,12.81,29.49,333.77,2.58
4708,Salt Meadow/Dry Grassland,1.3,94.52,2.58,2.90,336.34,1.43
4328,Salt Meadow/Dry Grassland,123.91,96.22,3.43,0.35,338.37,137.56
5437,Wet Meadow,14.71,95.02,4.79,0.20,339.49,16.38
3403,Native Riparian Forest,1.11,32.91,11.67,55.42,340.14,1.24
4817,Salt Meadow/Dry Grassland,8.37,91.19,1.90,6.91,340.23,9.34
3224,Native Riparian Forest,4.56,75.39,8.45,16.16,346.02,5.18
574,Dry Native Riparian Shrubland,0.84,92.50,7.50,0.00,346.35,0.95
6090,Tamarisk Woodland,0.55,23.48,41.57,34.95,346.56,0.63
860,Dry Native Riparian Shrubland,0.81,78.59,21.41,0.00,354.37,0.94
4161,Native Riparian Forest,12.29,56.36,6.84,36.80,355.4,14.33
4351,Salt Meadow/Dry Grassland,11.82,96.01,2.50,1.49,355.78,13.8
3940,Native Riparian Forest,16.4,67.54,4.85,27.61,357.26,19.22
4121,Native Riparian Forest,0.53,21.39,2.90,75.71,362.49,0.63
1085,Salt Meadow/Dry Grassland,8.84,96.80,2.86,0.34,363.53,10.54
10468,Salt Meadow/Dry Grassland,0.61,98.25,1.75,0.00,363.67,0.73
4162,Native Riparian Forest,103,55.39,10.99,33.62,367.02,124.03
5402,Wet Meadow,1.5,93.20,4.95,1.86,369.33,1.82
4709,Salt Meadow/Dry Grassland,4.11,93.18,2.91,3.91,374.28,5.05
3700,Native Riparian Forest,1.62,14.91,4.97,80.12,374.89,1.99
3883,Native Riparian Forest,2.47,24.95,9.92,65.13,376.26,3.05
4344,Salt Meadow/Dry Grassland,20.76,92.59,3.59,3.82,376.68,25.66
10462,Salt Meadow/Dry Grassland,206.8,98.23,1.75,0.02,379.63,257.57
4013,Native Riparian Forest,2.41,46.87,10.29,42.84,379.73,3
4094,Native Riparian Forest,1.27,19.06,2.91,78.03,381.28,1.59
4698,Salt Meadow/Dry Grassland,0.57,74.02,2.63,23.35,384.72,0.72
4055,Native Riparian Forest,5.34,31.36,5.33,63.31,385.71,6.76
6150,Tamarisk Woodland,0.81,15.65,44.51,39.85,385.99,1.03
5293,Wet Meadow,0.36,86.76,8.92,4.32,386.98,0.46
4385,Salt Meadow/Dry Grassland,8,87.17,5.93,6.90,390.95,10.26
6511,Russian Olive Woodland,1.15,8.98,64.02,26.99,392.8,1.48
5734,Tamarisk Woodland,0.33,70.80,20.01,9.19,392.98,0.43
4779,Salt Meadow/Dry Grassland,49.18,93.97,5.30,0.73,393.83,63.55
3345,Native Riparian Forest,2.08,59.25,9.58,31.17,393.92,2.69
637,Salt Meadow/Dry Grassland,0.82,95.40,1.44,3.16,395.23,1.06
244,Tamarisk Woodland,1.66,93.66,5.70,0.64,395.62,2.15
4715,Salt Meadow/Dry Grassland,3.34,90.16,6.90,2.94,396.07,4.34
3878,Native Riparian Forest,0.65,6.76,4.50,88.74,396.12,0.84
3426,Native Riparian Forest,4.65,35.75,35.08,29.18,396.75,6.05
4680,Salt Meadow/Dry Grassland,3.1,73.48,13.69,12.82,398.67,4.05
4721,Salt Meadow/Dry Grassland,2.35,91.04,1.78,7.18,398.73,3.07
4010,Native Riparian Forest,1.5,32.77,10.48,56.75,399.37,1.97
5000,Salt Meadow/Dry Grassland,47.28,9.89,59.63,30.48,400.8,62.17
1070,Salt Meadow/Dry Grassland,3.79,89.16,9.19,1.66,401.09,4.99
4056,Native Riparian Forest,1.79,47.23,5.87,46.90,406.9,2.39
4836,Salt Meadow/Dry Grassland,1.16,99.81,0.13,0.06,406.97,1.55
4597,Salt Meadow/Dry Grassland,2.94,83.26,2.74,14.00,407.04,3.93
4950,Salt Meadow/Dry Grassland,5.51,84.14,4.09,11.77,408.68,7.39
4054,Native Riparian Forest,5.55,30.39,11.60,58.01,409.63,7.46
3336,Native Riparian Forest,11.63,55.24,9.03,35.73,409.71,15.63
3990,Native Riparian Forest,2.3,38.76,53.20,8.04,409.97,3.09
5014,Salt Meadow/Dry Grassland,49.7,98.61,1.38,0.01,410.07,66.87
5013,Salt Meadow/Dry Grassland,275.91,95.10,3.23,1.67,413.14,373.98
4679,Salt Meadow/Dry Grassland,1.82,73.44,4.38,22.18,413.71,2.47
